,Date,snmpreportedmac,variable,value,sort_order,transmission_type,radio_type
151,2020-03-02,A8:9F:EC:FC:30:D1,2.4_Tx_mcs0,4104,0,Tx,2.4
152,2020-03-02,A8:9F:EC:FC:30:D5,2.4_Tx_mcs0,16,0,Tx,2.4
153,2020-03-02,A8:9F:EC:FC:30:DD,2.4_Tx_mcs0,0,0,Tx,2.4
154,2020-03-02,A8:9F:EC:FC:30:E5,2.4_Tx_mcs0,0,0,Tx,2.4
155,2020-03-02,A8:9F:EC:FC:32:19,2.4_Tx_mcs0,0,0,Tx,2.4
156,2020-03-02,A8:9F:EC:FC:32:1D,2.4_Tx_mcs0,0,0,Tx,2.4
157,2020-03-02,A8:9F:EC:FC:32:4D,2.4_Tx_mcs0,1,0,Tx,2.4
158,2020-03-02,F8:2D:C0:BD:D1:5D,2.4_Tx_mcs0,1,0,Tx,2.4
159,2020-03-02,F8:2D:C0:BF:95:29,2.4_Tx_mcs0,0,0,Tx,2.4
160,2020-03-02,F8:2D:C0:BF:95:31,2.4_Tx_mcs0,0,0,Tx,2.4
161,2020-03-02,F8:2D:C0:BF:95:35,2.4_Tx_mcs0,0,0,Tx,2.4
162,2020-03-02,F8:2D:C0:BF:96:49,2.4_Tx_mcs0,21,0,Tx,2.4
163,2020-03-02,F8:2D:C0:BF:96:65,2.4_Tx_mcs0,0,0,Tx,2.4
164,2020-03-02,F8:2D:C0:BF:96:69,2.4_Tx_mcs0,4098,0,Tx,2.4
165,2020-03-02,F8:2D:C0:BF:96:6D,2.4_Tx_mcs0,10,0,Tx,2.4
166,2020-03-02,F8:2D:C0:BF:96:75,2.4_Tx_mcs0,0,0,Tx,2.4
167,2020-03-01,74:EA:E8:F2:C9:25,2.4_Tx_mcs1,7177418,1,Tx,2.4
168,2020-03-01,74:EA:E8:F2:CB:AD,2.4_Tx_mcs1,5448788,1,Tx,2.4
169,2020-03-01,74:EA:E8:F2:CD:4D,2.4_Tx_mcs1,4882628,1,Tx,2.4
170,2020-03-01,74:EA:E8:F2:CD:5D,2.4_Tx_mcs1,9224092,1,Tx,2.4
171,2020-03-01,74:EA:E8:F2:CD:61,2.4_Tx_mcs1,5541471,1,Tx,2.4
172,2020-03-01,74:EA:E8:F2:CD:65,2.4_Tx_mcs1,4024277,1,Tx,2.4
173,2020-03-01,74:EA:E8:F2:CD:6D,2.4_Tx_mcs1,4558122,1,Tx,2.4
174,2020-03-01,74:EA:E8:F2:CD:D5,2.4_Tx_mcs1,3901897,1,Tx,2.4
175,2020-03-01,74:EA:E8:F2:CD:D9,2.4_Tx_mcs1,3672092,1,Tx,2.4
176,2020-03-01,74:EA:E8:F2:CE:4D,2.4_Tx_mcs1,5099019,1,Tx,2.4
177,2020-03-01,74:EA:E8:F2:D2:69,2.4_Tx_mcs1,6678545,1,Tx,2.4
178,2020-03-01,A8:9F:EC:DA:90:21,2.4_Tx_mcs1,9884733,1,Tx,2.4
179,2020-03-01,A8:9F:EC:DA:90:41,2.4_Tx_mcs1,6194604,1,Tx,2.4
180,2020-03-01,A8:9F:EC:DA:90:8D,2.4_Tx_mcs1,5195057,1,Tx,2.4
181,2020-03-01,A8:9F:EC:DA:90:91,2.4_Tx_mcs1,7919020,1,Tx,2.4
182,2020-03-01,A8:9F:EC:DA:90:99,2.4_Tx_mcs1,5932431,1,Tx,2.4
183,2020-03-01,A8:9F:EC:DA:90:9D,2.4_Tx_mcs1,4825054,1,Tx,2.4
184,2020-03-01,A8:9F:EC:DA:90:A1,2.4_Tx_mcs1,6335040,1,Tx,2.4
185,2020-03-01,A8:9F:EC:DA:90:B1,2.4_Tx_mcs1,3962827,1,Tx,2.4
186,2020-03-01,A8:9F:EC:DA:91:1D,2.4_Tx_mcs1,5323525,1,Tx,2.4
187,2020-03-01,A8:9F:EC:DA:91:3D,2.4_Tx_mcs1,5155564,1,Tx,2.4
188,2020-03-01,A8:9F:EC:DA:91:49,2.4_Tx_mcs1,6261344,1,Tx,2.4
189,2020-03-01,A8:9F:EC:DA:91:4D,2.4_Tx_mcs1,6083501,1,Tx,2.4
190,2020-03-01,A8:9F:EC:DA:AD:51,2.4_Tx_mcs1,6263347,1,Tx,2.4
191,2020-03-01,A8:9F:EC:DA:AF:FD,2.4_Tx_mcs1,13211248,1,Tx,2.4
192,2020-03-01,A8:9F:EC:DA:B1:91,2.4_Tx_mcs1,6268715,1,Tx,2.4
193,2020-03-01,A8:9F:EC:DA:B2:39,2.4_Tx_mcs1,8257382,1,Tx,2.4
